"","bmi","exercise","TurkMaster","agecat","race_cat","female","income_cat"
"1",22.3142204284668,1,0,2,1,0,3
"2",41.157657623291,1,0,3,1,1,1
"3",18.1776103973389,1,0,1,1,1,1
"4",25.2520275115967,0,0,4,1,0,2
"5",23.7099437713623,1,0,1,1,0,2
"6",22.1121520996094,1,0,1,4,0,1
"7",22.8625640869141,1,0,3,1,1,3
"8",24.4453506469727,1,0,3,4,1,4
"9",37.1225929260254,1,0,2,1,1,2
"10",21.1336879730225,1,0,2,2,1,1
"11",23.6276264190674,1,0,1,1,0,3
"12",19.204553604126,0,0,2,1,1,1
"13",23.0125923156738,NA,0,1,1,0,2
"14",23.9139289855957,1,0,1,1,1,1
"15",23.2969799041748,1,0,2,1,0,1
"16",26.6254901885986,1,0,1,1,1,1
"17",25.8423900604248,1,0,2,1,1,3
"18",26.5810832977295,1,0,1,1,0,4
"19",44.9183311462402,1,0,1,1,0,2
"20",37.9296073913574,1,0,2,3,0,1
"21",22.6739482879639,NA,0,1,4,1,5
"22",27.4978332519531,1,0,4,1,0,1
"23",36.5801010131836,0,0,2,1,1,1
"24",25.6229801177979,0,0,2,1,0,3
"25",26.6083831787109,1,0,1,3,0,1
"26",28.1916980743408,0,0,4,1,0,4
"27",35.2619781494141,1,0,1,1,0,4
"28",33.2005043029785,1,0,1,1,1,2
"29",21.7893486022949,1,0,1,1,0,2
"30",20.7841053009033,0,0,1,1,1,1
"31",23.7478942871094,1,0,3,1,0,2
"32",22.3967361450195,1,0,1,4,0,3
"33",25.8270473480225,1,0,2,3,0,1
"34",26.5444641113281,0,0,2,1,0,1
"35",36.9411697387695,0,0,3,1,0,1
"36",24.3922100067139,1,0,2,1,0,4
"37",25.6229801177979,1,0,1,1,0,4
"38",36.6095390319824,1,0,3,1,0,1
"39",19.3941135406494,1,0,1,1,0,1
"40",22.9573726654053,1,0,1,4,0,1
"41",22.3152389526367,1,0,4,1,0,2
"42",30.2728977203369,0,0,1,1,0,1
"43",21.7882480621338,1,0,1,3,1,1
"44",27.3686256408691,1,0,2,1,0,1
"45",20.5264682769775,1,0,1,1,0,3
"46",31.930061340332,1,0,1,1,0,1
"47",25.84814453125,0,0,1,1,0,4
"48",23.6297931671143,1,0,4,1,1,4
"49",18.0113620758057,1,0,1,4,0,5
"50",22.7415924072266,1,0,2,1,1,3
"51",44.6304779052734,NA,0,1,1,0,2
"52",29.5345363616943,1,0,1,1,0,1
"53",21.6996784210205,1,0,4,1,0,5
"54",20.5977420806885,1,0,2,4,1,1
"55",27.0462112426758,1,0,4,3,0,4
"56",23.7478942871094,1,0,4,4,0,4
"57",27.3972320556641,1,0,4,1,1,3
"58",26.3201713562012,1,0,1,1,0,4
"59",24.2103862762451,1,0,1,4,0,1
"60",25.1043548583984,0,0,1,1,0,1
"61",24.4072933197021,0,0,2,4,0,1
"62",24.2761821746826,1,0,3,4,0,2
"63",23.7523498535156,1,0,1,1,0,3
"64",23.7340240478516,1,0,2,1,0,4
"65",23.9229736328125,1,0,2,1,0,1
"66",22.7099781036377,1,0,1,1,1,4
"67",26.4993476867676,1,0,2,1,0,1
