"","DependentVariable","Pro_Campaign","l_pctagreeus_unga","wdicode","year"
"1",0.202702702702703,0,0.7368421,"ARG",1948
"2",0.253521126760563,0,0.57,"ARG",1949
"3",0,0,0.8787879,"ARG",1959
"4",0.0909090909090909,0,0.6851852,"ARG",1960
"5",0.255813953488372,0,NA,"AUS",1946
"6",0.22680412371134,0,0.6666667,"AUS",1947
"7",0.2,0,0.5185185,"AUS",1956
"8",0.0769230769230769,0,0.7833333,"AUS",1957
"9",0.134020618556701,0,0.7380952,"BEL",1947
"10",0.114864864864865,0,0.8157895,"BEL",1948
"11",0.173076923076923,1,0.4333333,"BEL",1955
"12",0.1,1,0.4814815,"BEL",1956
"13",0.12,0,0.5185185,"BOL",1964
"14",0.147058823529412,0,NA,"BOL",1965
"15",0.0697674418604651,0,NA,"BRA",1946
"16",0.134020618556701,0,0.6428571,"BRA",1947
"17",0,0,0.8113208,"BRA",1951
"18",0.105263157894737,0,0.64,"BRA",1952
"19",0.142857142857143,0,0.64,"BRA",1954
"20",0.346153846153846,0,0.6333333,"BRA",1955
"21",0.153846153846154,0,0.6086957,"BRA",1963
"22",0.08,0,0.5483871,"BRA",1964
"23",0.0810810810810811,0,0.8947368,"CAN",1948
"24",0.126760563380282,0,0.8058252,"CAN",1949
"25",0.0666666666666667,0,0.8529412,"CAN",1958
"26",0,0,0.8787879,"CAN",1959
"27",0.210526315789474,0,0.4,"CHL",1952
"28",0,0,0.5833333,"CHL",1953
"29",0.128205128205128,0,0.7378641,"CHL",1961
"30",0,0,0.7534247,"CHL",1962
"31",0.16,0,0.5,"CIV",1964
"32",0.382352941176471,0,NA,"CIV",1965
"33",0.206185567010309,0,0.3571429,"COL",1947
"34",0.0945945945945946,0,0.6285714,"COL",1948
"35",0,0,0.6938776,"COL",1953
"36",0,0,0.5416667,"COL",1954
"37",0.0769230769230769,0,0.8813559,"COL",1957
"38",0,0,0.8235294,"COL",1958
"39",0.56,0,0.1290323,"CSK",1964
"40",0.0704225352112676,0,0.6043956,"CUB",1949
"41",0.132075471698113,0,0.5555556,"CUB",1950
"42",0.25,0,0.7037037,"CUB",1956
"43",0.0769230769230769,0,0.7666667,"CUB",1957
"44",0,0,0.8979592,"DNK",1953
"45",0.142857142857143,0,0.4,"DNK",1954
"46",0.30188679245283,0,0.5084746,"ECU",1950
"47",0,0,0.7358491,"ECU",1951
"48",0.109090909090909,0,0.5925926,"ECU",1960
"49",0.128205128205128,0,0.5054945,"ECU",1961
"50",0.13953488372093,0,NA,"EGY",1946
"51",0.183098591549296,0,0.4950495,"EGY",1949
"52",0.339622641509434,0,0.4285714,"EGY",1950
