"gender","age","higher_edu","income_chng","polinterest","home_child","income","infection","self_esteem","pol_participation","pol_participation_past"
0,34,1,2,3,0,2,0,3,9,2
1,63,1,3,2,0,2,0,1,0,1
0,35,0,4,4,0,4,0,4,18,17
0,57,1,2,3,0,2,0,1,1,2
0,27,1,5,3,0,2,1,2,22,21
1,44,0,1,4,0,4,0,4,6,15
1,22,1,3,2,0,2,0,3,4,3
1,21,1,4,2,0,3,0,4,17,17
1,32,0,3,3,0,2,0,4,0,0
0,28,0,3,2,0,2,0,3,6,2
1,36,0,3,3,1,2,0,3,1,2
1,61,0,3,2,0,3,0,2,2,7
0,62,0,3,3,0,3,0,4,2,2
1,54,0,2,2,0,2,0,4,0,0
1,23,1,1,3,0,2,0,4,0,0
1,58,0,3,3,1,2,0,3,0,0
1,40,1,2,4,0,2,0,2,0,2
0,69,0,4,4,0,1,0,4,0,0
1,54,0,1,4,0,3,0,2,0,0
0,61,0,3,3,0,2,0,4,0,0
0,64,0,3,1,0,3,0,3,0,0
0,56,1,3,2,0,1,0,3,0,1
0,23,0,3,3,0,2,0,3,0,1
0,56,1,3,3,0,2,0,2,0,0
1,27,1,4,2,0,1,0,4,1,0
0,44,1,2,3,0,2,1,4,4,5
0,56,1,3,2,0,1,0,5,0,0
1,20,1,4,3,0,2,1,3,13,13
1,66,0,3,2,0,2,0,4,0,0
1,49,0,3,2,0,3,0,2,0,0
1,31,1,2,2,1,1,0,3,0,1
0,68,0,3,3,0,2,0,3,0,0
1,37,0,3,4,0,2,0,5,0,0
1,47,0,3,1,0,1,0,2,0,0
0,25,1,3,3,0,1,0,4,0,0
0,69,0,3,2,0,2,0,4,0,0
1,33,1,1,2,0,4,0,2,0,0
1,62,0,2,2,0,3,0,5,0,0
1,34,1,3,2,0,2,0,1,5,0
1,25,1,2,3,0,2,1,2,3,8
0,59,0,3,4,0,2,0,4,4,6
1,21,1,4,2,0,2,0,2,0,4
1,49,0,2,2,1,2,0,3,0,0
0,61,1,3,4,0,3,0,2,3,4
0,57,0,3,3,0,1,0,4,3,2
0,69,1,3,3,0,2,0,4,0,2
0,51,0,3,4,0,2,0,3,0,0
0,58,1,3,3,0,2,0,3,0,0
0,45,0,2,4,1,2,1,5,29,27
0,57,0,3,3,0,2,0,4,1,0
1,36,0,3,2,0,2,0,5,0,0
1,39,0,3,3,0,2,0,2,0,0
0,65,0,1,4,0,4,0,4,2,2
1,28,0,2,1,0,3,0,2,0,0
0,55,0,1,2,0,3,0,3,0,3
1,42,1,3,3,0,2,1,4,10,8
1,66,1,2,4,0,2,0,4,0,0
1,41,1,3,3,0,2,0,4,0,0
1,45,0,2,1,0,2,0,2,0,0
1,23,1,3,2,0,1,0,4,5,5
1,41,0,2,2,0,2,0,3,1,0
0,50,0,3,2,0,3,0,5,0,0
0,59,0,3,4,0,2,0,4,19,15
1,37,0,3,2,0,2,0,3,0,0
0,53,0,2,4,0,2,0,4,2,2
0,62,0,5,4,0,1,0,4,3,4
0,30,0,1,3,0,2,0,4,6,2
1,30,1,2,2,0,2,0,2,0,0
1,47,0,3,1,1,3,0,1,0,0
0,60,0,4,3,0,2,0,3,0,0
0,54,1,1,4,0,3,0,4,9,2
0,50,0,3,3,0,2,0,3,2,2
1,51,1,3,3,0,1,0,2,0,0
1,20,1,3,3,0,1,0,3,25,25
0,28,1,2,3,1,3,0,3,3,0
0,62,0,3,3,0,3,0,3,0,0
1,29,1,3,3,0,1,0,3,0,0
0,66,1,3,3,0,2,0,3,1,0
1,39,1,2,2,1,2,0,2,0,0
1,37,1,2,3,0,1,0,3,1,1
0,36,0,2,3,0,2,0,2,2,0
0,62,0,3,2,0,2,0,4,5,0
1,46,1,3,2,0,2,0,4,0,0
1,41,1,2,1,1,2,0,2,0,0
